OID_,city_name,buffer_id,FID
10797,南京市,60,10797
10798,南京市,59,10798
10799,南京市,58,10799
10800,南京市,57,10800
10801,南京市,56,10801
10802,南京市,55,10802
10803,南京市,54,10803
10804,南京市,53,10804
10805,南京市,52,10805
10806,南京市,51,10806
10807,南京市,50,10807
10808,南京市,49,10808
10809,南京市,48,10809
10810,南京市,47,10810
10811,南京市,46,10811
10812,南京市,45,10812
10813,南京市,44,10813
10814,南京市,43,10814
10815,南京市,42,10815
10816,南京市,41,10816
10817,南京市,40,10817
10818,南京市,39,10818
10819,南京市,38,10819
10820,南京市,37,10820
10821,南京市,36,10821
10822,南京市,35,10822
10823,南京市,34,10823
10824,南京市,33,10824
10825,南京市,32,10825
10826,南京市,31,10826
10827,南京市,30,10827
10828,南京市,29,10828
10829,南京市,28,10829
10830,南京市,27,10830
10831,南京市,26,10831
10832,南京市,25,10832
10833,南京市,24,10833
10834,南京市,23,10834
10835,南京市,22,10835
10836,南京市,21,10836
10837,南京市,20,10837
10838,南京市,19,10838
10839,南京市,18,10839
10840,南京市,17,10840
10841,南京市,16,10841
10842,南京市,15,10842
10843,南京市,14,10843
10844,南京市,13,10844
10845,南京市,12,10845
10846,南京市,11,10846
10847,南京市,10,10847
10848,南京市,9,10848
10849,南京市,8,10849
10850,南京市,7,10850
10851,南京市,6,10851
10852,南京市,5,10852
10853,南京市,4,10853
10854,南京市,3,10854
10855,南京市,2,10855
10856,南京市,1,10856
10857,南京市,0,10857
